Amount of prmiitives: 4882
0 left: 1 right: 2 (-111.159, 111.079)(0, 0.4)(-11.1993, 11.0991) 0
1 left: 3 right: 4 (-111.159, 0.0931685)(0, 0.4)(-11.1993, 11.0991) 0
2 left: 2985 right: 2986 (-0.190067, 111.079)(0, 0.4)(-11.1916, 11.0956) 0
3 left: 5 right: 6 (-111.159, -55.3664)(0, 0.4)(-11.1993, 11.0935) 0
4 left: 1499 right: 1500 (-55.7249, 0.0931685)(0, 0.4)(-11.1855, 11.0991) 0
5 left: 7 right: 8 (-111.159, -83.1563)(0, 0.4)(-11.1993, 11.0714) 0
6 left: 759 right: 760 (-83.4604, -55.3664)(0, 0.4)(-11.1829, 11.0935) 0
7 left: 9 right: 10 (-111.159, -96.9603)(0, 0.4)(-11.1993, 11.0572) 0
8 left: 393 right: 394 (-97.1864, -83.1563)(0, 0.4)(-11.0889, 11.0714) 0
9 left: 11 right: 12 (-111.104, -96.9603)(0, 0.4)(-11.1993, 0.00653947) 0
10 left: 203 right: 204 (-111.159, -97.0907)(0, 0.4)(-0.174052, 11.0572) 0
11 left: 13 right: 14 (-111.104, -103.983)(0, 0.4)(-11.1689, 0.00653947) 0
12 left: 107 right: 108 (-104.095, -96.9603)(0, 0.4)(-11.1993, -0.152401) 0
13 left: 15 right: 16 (-111.104, -103.983)(0, 0.4)(-11.1689, -5.42508) 0
14 left: 59 right: 60 (-111.056, -104.234)(0, 0.4)(-5.6989, 0.00653947) 0
15 left: 17 right: 18 (-111.104, -107.376)(0, 0.4)(-11.1689, -6.01117) 0
16 left: 37 right: 38 (-107.543, -103.983)(0, 0.4)(-11.0756, -5.42508) 0
17 left: 19 right: 20 (-110.55, -107.718)(0, 0.4)(-11.1689, -8.47094) 0
18 left: 27 right: 28 (-111.104, -107.376)(0, 0.4)(-8.75778, -6.01117) 0
19 left: 21 right: 22 (-110.55, -109.579)(0, 0.4)(-10.533, -8.97786) 0
20 left: 23 right: 24 (-108.997, -107.718)(0, 0.4)(-11.1689, -8.47094) 0
24 left: 25 right: 26 (-108.997, -107.718)(0, 0.4)(-9.53874, -8.47094) 0
27 left: 29 right: 30 (-111.104, -109.159)(0, 0.4)(-8.41282, -6.01117) 0
28 left: 33 right: 34 (-109.32, -107.376)(0, 0.4)(-8.75778, -6.08587) 0
29 left: 31 right: 32 (-110.945, -109.387)(0, 0.4)(-8.41282, -7.26685) 0
33 left: 35 right: 36 (-109.32, -107.449)(0, 0.4)(-8.75778, -7.4728) 0
37 left: 39 right: 40 (-107.533, -104.073)(0, 0.4)(-11.0756, -8.08271) 0
38 left: 51 right: 52 (-107.543, -103.983)(0, 0.4)(-8.36055, -5.42508) 0
39 left: 41 right: 42 (-107.533, -106.036)(0, 0.4)(-11.0363, -8.08271) 0
40 left: 45 right: 46 (-105.904, -104.073)(0, 0.4)(-11.0756, -8.47646) 0
41 left: 43 right: 44 (-107.533, -106.036)(0, 0.4)(-11.0363, -9.46731) 0
45 left: 47 right: 48 (-105.904, -104.699)(0, 0.4)(-11.0756, -9.66319) 0
46 left: 49 right: 50 (-105.651, -104.073)(0, 0.4)(-9.54382, -8.47646) 0
51 left: 53 right: 54 (-107.543, -105.975)(0, 0.4)(-8.36055, -6.27961) 0
52 left: 55 right: 56 (-105.752, -103.983)(0, 0.4)(-7.592, -5.42508) 0
55 left: 57 right: 58 (-105.752, -103.983)(0, 0.4)(-7.592, -6.46484) 0
59 left: 61 right: 62 (-111.056, -107.493)(0, 0.4)(-5.59193, 0.00653947) 0
60 left: 83 right: 84 (-107.736, -104.234)(0, 0.4)(-5.6989, -0.147054) 0
61 left: 63 right: 64 (-111.056, -107.537)(0, 0.4)(-5.59193, -2.64223) 0
62 left: 75 right: 76 (-111.041, -107.493)(0, 0.4)(-2.65125, 0.00653947) 0
63 left: 65 right: 66 (-111.056, -109.222)(0, 0.4)(-5.45761, -2.64223) 0
64 left: 71 right: 72 (-109.41, -107.537)(0, 0.4)(-5.59193, -3.21638) 0
65 left: 67 right: 68 (-110.516, -109.421)(0, 0.4)(-5.45761, -4.06094) 0
66 left: 69 right: 70 (-111.056, -109.222)(0, 0.4)(-4.18527, -2.64223) 0
72 left: 73 right: 74 (-109.052, -107.537)(0, 0.4)(-4.43184, -3.21638) 0
75 left: 77 right: 78 (-111.041, -109.539)(0, 0.4)(-1.9609, -0.0867637) 0
76 left: 79 right: 80 (-109.336, -107.493)(0, 0.4)(-2.65125, 0.00653947) 0
80 left: 81 right: 82 (-109.336, -108.319)(0, 0.4)(-1.4632, 0.00653947) 0
83 left: 85 right: 86 (-107.736, -104.234)(0, 0.4)(-5.6989, -2.96556) 0
84 left: 95 right: 96 (-107.436, -104.318)(0, 0.4)(-3.09927, -0.147054) 0
85 left: 87 right: 88 (-107.736, -106.006)(0, 0.4)(-5.6989, -3.44276) 0
86 left: 91 right: 92 (-106.12, -104.234)(0, 0.4)(-5.62592, -2.96556) 0
87 left: 89 right: 90 (-107.736, -106.006)(0, 0.4)(-5.6989, -4.65291) 0
92 left: 93 right: 94 (-105.878, -104.234)(0, 0.4)(-4.37202, -2.96556) 0
95 left: 97 right: 98 (-107.436, -105.904)(0, 0.4)(-2.54711, -0.188724) 0
96 left: 101 right: 102 (-105.835, -104.318)(0, 0.4)(-3.09927, -0.147054) 0
97 left: 99 right: 100 (-107.436, -105.904)(0, 0.4)(-2.54711, -1.39187) 0
101 left: 103 right: 104 (-105.835, -104.318)(0, 0.4)(-3.09927, -1.5852) 0
102 left: 105 right: 106 (-105.758, -104.706)(0, 0.4)(-1.56608, -0.147054) 0
107 left: 109 right: 110 (-104.016, -96.9603)(0, 0.4)(-11.1993, -5.75476) 0
108 left: 153 right: 154 (-104.095, -97.0222)(0, 0.4)(-5.68508, -0.152401) 0
109 left: 111 right: 112 (-104.016, -100.379)(0, 0.4)(-10.8647, -5.75476) 0
110 left: 137 right: 138 (-100.34, -96.9603)(0, 0.4)(-11.1993, -6.03179) 0
111 left: 113 right: 114 (-103.964, -100.555)(0, 0.4)(-10.8647, -8.12692) 0
112 left: 125 right: 126 (-104.016, -100.379)(0, 0.4)(-8.46927, -5.75476) 0
113 left: 115 right: 116 (-103.964, -102.351)(0, 0.4)(-10.8647, -8.37194) 0
114 left: 119 right: 120 (-102.345, -100.555)(0, 0.4)(-10.3609, -8.12692) 0
115 left: 117 right: 118 (-103.964, -102.351)(0, 0.4)(-10.8647, -9.67547) 0
119 left: 121 right: 122 (-102.091, -100.555)(0, 0.4)(-10.3609, -9.77108) 0
120 left: 123 right: 124 (-102.345, -101.626)(0, 0.4)(-9.42729, -8.12692) 0
125 left: 127 right: 128 (-104.016, -102.633)(0, 0.4)(-7.70541, -5.75476) 0
126 left: 133 right: 134 (-101.698, -100.379)(0, 0.4)(-8.46927, -6.04561) 0
127 left: 129 right: 130 (-103.678, -102.633)(0, 0.4)(-7.70541, -6.53038) 0
130 left: 131 right: 132 (-103.36, -102.633)(0, 0.4)(-7.3072, -6.53038) 0
134 left: 135 right: 136 (-101.698, -100.399)(0, 0.4)(-7.36645, -6.04561) 0
137 left: 139 right: 140 (-100.34, -96.9603)(0, 0.4)(-11.1993, -8.44515) 0
138 left: 149 right: 150 (-100.14, -97.648)(0, 0.4)(-8.02255, -6.03179) 0
139 left: 141 right: 142 (-100.34, -99.0239)(0, 0.4)(-10.659, -8.50611) 0
140 left: 143 right: 144 (-98.6862, -96.9603)(0, 0.4)(-11.1993, -8.44515) 0
143 left: 145 right: 146 (-98.6862, -97.4646)(0, 0.4)(-11.1993, -9.78796) 0
144 left: 147 right: 148 (-98.4277, -96.9603)(0, 0.4)(-9.30632, -8.44515) 0
150 left: 151 right: 152 (-98.8922, -97.648)(0, 0.4)(-8.02255, -6.03179) 0
153 left: 155 right: 156 (-104.095, -100.369)(0, 0.4)(-5.48127, -0.458038) 0
154 left: 179 right: 180 (-100.531, -97.0222)(0, 0.4)(-5.68508, -0.152401) 0
155 left: 157 right: 158 (-103.871, -100.369)(0, 0.4)(-5.48127, -3.24786) 0
156 left: 169 right: 170 (-104.095, -100.684)(0, 0.4)(-2.66946, -0.458038) 0
157 left: 159 right: 160 (-103.871, -102.005)(0, 0.4)(-5.46834, -3.59368) 0
158 left: 163 right: 164 (-101.945, -100.369)(0, 0.4)(-5.48127, -3.24786) 0
160 left: 161 right: 162 (-103.871, -102.005)(0, 0.4)(-4.49597, -3.59368) 0
163 left: 165 right: 166 (-101.628, -100.369)(0, 0.4)(-5.48127, -4.66009) 0
164 left: 167 right: 168 (-101.945, -100.454)(0, 0.4)(-4.43018, -3.24786) 0
169 left: 171 right: 172 (-104.095, -102.292)(0, 0.4)(-2.5928, -0.458038) 0
170 left: 175 right: 176 (-102.362, -100.684)(0, 0.4)(-2.66946, -0.656078) 0
172 left: 173 right: 174 (-103.836, -102.352)(0, 0.4)(-1.3155, -0.458038) 0
176 left: 177 right: 178 (-102.362, -100.684)(0, 0.4)(-1.50337, -0.656078) 0
179 left: 181 right: 182 (-100.185, -97.0222)(0, 0.4)(-5.68508, -3.12437) 0
180 left: 189 right: 190 (-100.531, -97.3933)(0, 0.4)(-2.79892, -0.152401) 0
181 left: 183 right: 184 (-100.185, -99.3994)(0, 0.4)(-5.32308, -3.31659) 0
182 left: 185 right: 186 (-98.6192, -97.0222)(0, 0.4)(-5.68508, -3.12437) 0
186 left: 187 right: 188 (-98.5336, -97.2515)(0, 0.4)(-4.51488, -3.12437) 0
189 left: 191 right: 192 (-100.531, -98.9021)(0, 0.4)(-2.72396, -0.783454) 0
190 left: 197 right: 198 (-98.802, -97.3933)(0, 0.4)(-2.79892, -0.152401) 0
191 left: 193 right: 194 (-100.531, -98.9021)(0, 0.4)(-2.72396, -1.61332) 0
193 left: 195 right: 196 (-100.531, -99.5428)(0, 0.4)(-2.72396, -1.77788) 0
197 left: 199 right: 200 (-98.5693, -97.4892)(0, 0.4)(-2.79892, -1.29138) 0
198 left: 201 right: 202 (-98.802, -97.3933)(0, 0.4)(-1.31362, -0.152401) 0
203 left: 205 right: 206 (-111.159, -103.942)(0, 0.4)(-0.174052, 11.0266) 0
204 left: 303 right: 304 (-104.196, -97.0907)(0, 0.4)(0.142415, 11.0572) 0
205 left: 207 right: 208 (-111.159, -103.942)(0, 0.4)(-0.174052, 5.39876) 0
206 left: 255 right: 256 (-111.099, -104.261)(0, 0.4)(5.34272, 11.0266) 0
207 left: 209 right: 210 (-111.159, -107.632)(0, 0.4)(0.338116, 5.39876) 0
208 left: 231 right: 232 (-107.511, -103.942)(0, 0.4)(-0.174052, 5.33804) 0
209 left: 211 right: 212 (-111.159, -107.632)(0, 0.4)(0.338116, 3.01079) 0
210 left: 223 right: 224 (-110.569, -108.373)(0, 0.4)(2.80534, 5.39876) 0
211 left: 213 right: 214 (-111.159, -109.22)(0, 0.4)(0.338116, 2.51005) 0
212 left: 217 right: 218 (-109.487, -107.632)(0, 0.4)(0.370556, 3.01079) 0
214 left: 215 right: 216 (-111.159, -109.22)(0, 0.4)(1.51763, 2.51005) 0
217 left: 219 right: 220 (-109.487, -107.632)(0, 0.4)(0.370556, 1.28762) 0
219 left: 221 right: 222 (-109.487, -108.461)(0, 0.4)(0.38694, 1.28762) 0
223 left: 225 right: 226 (-110.569, -108.373)(0, 0.4)(2.80534, 3.95359) 0
224 left: 227 right: 228 (-110.486, -108.633)(0, 0.4)(4.19885, 5.39876) 0
228 left: 229 right: 230 (-109.589, -108.633)(0, 0.4)(4.19885, 5.39876) 0
231 left: 233 right: 234 (-107.511, -104.572)(0, 0.4)(-0.174052, 2.37169) 0
232 left: 243 right: 244 (-107.49, -103.942)(0, 0.4)(2.53559, 5.33804) 0
233 left: 235 right: 236 (-107.511, -105.959)(0, 0.4)(-0.140664, 2.34758) 0
234 left: 239 right: 240 (-105.998, -104.572)(0, 0.4)(-0.174052, 2.37169) 0
236 left: 237 right: 238 (-107.511, -105.959)(0, 0.4)(1.00679, 2.34758) 0
240 left: 241 right: 242 (-105.998, -104.572)(0, 0.4)(1.40896, 2.37169) 0
243 left: 245 right: 246 (-107.49, -105.771)(0, 0.4)(2.57969, 5.00501) 0
244 left: 251 right: 252 (-105.901, -103.942)(0, 0.4)(2.53559, 5.33804) 0
245 left: 247 right: 248 (-107.49, -106.381)(0, 0.4)(2.57969, 3.56094) 0
246 left: 249 right: 250 (-107.319, -105.771)(0, 0.4)(4.16376, 5.00501) 0
251 left: 253 right: 254 (-105.901, -104.062)(0, 0.4)(2.53559, 4.07105) 0
255 left: 257 right: 258 (-111.099, -107.6)(0, 0.4)(5.34272, 10.8401) 0
256 left: 277 right: 278 (-107.602, -104.261)(0, 0.4)(5.4314, 11.0266) 0
257 left: 259 right: 260 (-111.099, -107.67)(0, 0.4)(5.34272, 8.22726) 0
258 left: 267 right: 268 (-111.07, -107.6)(0, 0.4)(8.38054, 10.8401) 0
259 left: 261 right: 262 (-111.099, -109.723)(0, 0.4)(5.34272, 7.88124) 0
260 left: 263 right: 264 (-109.578, -107.67)(0, 0.4)(5.80267, 8.22726) 0
264 left: 265 right: 266 (-108.771, -107.67)(0, 0.4)(7.20966, 8.22726) 0
267 left: 269 right: 270 (-111.07, -109.302)(0, 0.4)(8.38054, 10.8114) 0
268 left: 275 right: 276 (-109.134, -107.6)(0, 0.4)(9.10562, 10.8401) 0
269 left: 271 right: 272 (-110.727, -109.732)(0, 0.4)(8.38054, 9.24343) 0
270 left: 273 right: 274 (-111.07, -109.302)(0, 0.4)(9.58396, 10.8114) 0
277 left: 279 right: 280 (-107.514, -104.411)(0, 0.4)(5.4314, 8.21896) 0
278 left: 293 right: 294 (-107.602, -104.261)(0, 0.4)(8.13162, 11.0266) 0
279 left: 281 right: 282 (-107.514, -105.909)(0, 0.4)(5.63815, 8.03796) 0
280 left: 287 right: 288 (-106.143, -104.411)(0, 0.4)(5.4314, 8.21896) 0
281 left: 283 right: 284 (-107.514, -105.909)(0, 0.4)(5.63815, 6.76468) 0
283 left: 285 right: 286 (-107.514, -106.774)(0, 0.4)(5.63815, 6.76468) 0
287 left: 289 right: 290 (-105.952, -104.421)(0, 0.4)(5.4314, 6.88448) 0
288 left: 291 right: 292 (-106.143, -104.411)(0, 0.4)(6.86087, 8.21896) 0
293 left: 295 right: 296 (-107.602, -106.404)(0, 0.4)(8.13162, 11.0266) 0
294 left: 299 right: 300 (-105.796, -104.261)(0, 0.4)(8.47083, 10.7384) 0
295 left: 297 right: 298 (-107.602, -106.404)(0, 0.4)(8.13162, 9.51381) 0
300 left: 301 right: 302 (-105.796, -104.261)(0, 0.4)(9.5899, 10.7384) 0
303 left: 305 right: 306 (-104.179, -97.0931)(0, 0.4)(0.142415, 5.7674) 0
304 left: 351 right: 352 (-104.196, -97.0907)(0, 0.4)(5.43848, 11.0572) 0
305 left: 307 right: 308 (-104.179, -100.509)(0, 0.4)(0.216037, 5.36529) 0
306 left: 327 right: 328 (-100.623, -97.0931)(0, 0.4)(0.142415, 5.7674) 0
307 left: 309 right: 310 (-104.123, -100.909)(0, 0.4)(0.216037, 2.63271) 0
308 left: 317 right: 318 (-104.179, -100.509)(0, 0.4)(2.92678, 5.36529) 0
309 left: 311 right: 312 (-104.123, -102.574)(0, 0.4)(0.216037, 2.63271) 0
310 left: 315 right: 316 (-102.4, -100.909)(0, 0.4)(0.396818, 2.53347) 0
312 left: 313 right: 314 (-104.123, -102.75)(0, 0.4)(1.3733, 2.63271) 0
317 left: 319 right: 320 (-104.179, -102.236)(0, 0.4)(2.92678, 5.36529) 0
318 left: 323 right: 324 (-102.428, -100.509)(0, 0.4)(2.93685, 5.26941) 0
320 left: 321 right: 322 (-104.012, -102.236)(0, 0.4)(4.07922, 5.36529) 0
323 left: 325 right: 326 (-102.428, -100.509)(0, 0.4)(2.93685, 3.99991) 0
327 left: 329 right: 330 (-100.412, -97.1534)(0, 0.4)(0.142415, 2.77584) 0
328 left: 341 right: 342 (-100.623, -97.0931)(0, 0.4)(3.12398, 5.7674) 0
329 left: 331 right: 332 (-100.412, -98.9824)(0, 0.4)(0.142415, 2.60381) 0
330 left: 337 right: 338 (-98.8826, -97.1534)(0, 0.4)(0.344114, 2.77584) 0
331 left: 333 right: 334 (-100.412, -99.1358)(0, 0.4)(0.142415, 1.3122) 0
332 left: 335 right: 336 (-100.366, -98.9824)(0, 0.4)(1.23992, 2.60381) 0
338 left: 339 right: 340 (-98.8721, -97.1534)(0, 0.4)(1.39502, 2.77584) 0
341 left: 343 right: 344 (-100.623, -98.7518)(0, 0.4)(3.32176, 5.7674) 0
342 left: 347 right: 348 (-98.3322, -97.0931)(0, 0.4)(3.12398, 5.57881) 0
344 left: 345 right: 346 (-100.623, -98.7518)(0, 0.4)(4.38641, 5.7674) 0
348 left: 349 right: 350 (-98.3322, -97.2409)(0, 0.4)(4.23564, 5.57881) 0
351 left: 353 right: 354 (-104.196, -100.752)(0, 0.4)(5.65777, 11.0572) 0
352 left: 371 right: 372 (-100.66, -97.0907)(0, 0.4)(5.43848, 10.4202) 0
353 left: 355 right: 356 (-104.053, -101.021)(0, 0.4)(5.65777, 8.49282) 0
354 left: 363 right: 364 (-104.196, -100.752)(0, 0.4)(8.32909, 11.0572) 0
355 left: 357 right: 358 (-104.053, -102.64)(0, 0.4)(5.65777, 7.80673) 0
356 left: 359 right: 360 (-102.619, -101.021)(0, 0.4)(6.37902, 8.49282) 0
359 left: 361 right: 362 (-102.619, -101.021)(0, 0.4)(6.37902, 7.62903) 0
363 left: 365 right: 366 (-104.196, -102.326)(0, 0.4)(8.32909, 10.8809) 0
364 left: 369 right: 370 (-102.17, -100.752)(0, 0.4)(8.86196, 11.0572) 0
365 left: 367 right: 368 (-104.196, -102.326)(0, 0.4)(8.32909, 9.67794) 0
371 left: 373 right: 374 (-100.557, -97.1554)(0, 0.4)(5.43848, 7.95856) 0
372 left: 381 right: 382 (-100.66, -97.0907)(0, 0.4)(7.80998, 10.4202) 0
373 left: 375 right: 376 (-100.557, -99.0937)(0, 0.4)(5.43848, 7.95856) 0
374 left: 379 right: 380 (-98.8415, -97.1554)(0, 0.4)(5.98866, 7.83858) 0
376 left: 377 right: 378 (-100.541, -99.0937)(0, 0.4)(6.60299, 7.95856) 0
381 left: 383 right: 384 (-100.66, -98.7308)(0, 0.4)(8.02617, 10.4161) 0
382 left: 389 right: 390 (-98.9255, -97.0907)(0, 0.4)(7.80998, 10.4202) 0
383 left: 385 right: 386 (-100.319, -99.1173)(0, 0.4)(8.02617, 9.30054) 0
384 left: 387 right: 388 (-100.66, -98.7308)(0, 0.4)(9.85304, 10.4161) 0
390 left: 391 right: 392 (-98.9255, -97.0907)(0, 0.4)(9.15415, 10.4202) 0
393 left: 395 right: 396 (-97.179, -83.2338)(0, 0.4)(-11.0889, 0.0604913) 0
394 left: 581 right: 582 (-97.1864, -83.1563)(0, 0.4)(-0.182089, 11.0714) 0
395 left: 397 right: 398 (-97.179, -90.1148)(0, 0.4)(-11.0471, 0.0604913) 0
396 left: 489 right: 490 (-90.3819, -83.2338)(0, 0.4)(-11.0889, 0.049192) 0
397 left: 399 right: 400 (-97.179, -90.1148)(0, 0.4)(-11.0471, -5.32914) 0
398 left: 449 right: 450 (-96.9834, -90.1881)(0, 0.4)(-5.58472, 0.0604913) 0
399 left: 401 right: 402 (-97.179, -93.4654)(0, 0.4)(-11.0314, -5.43865) 0
400 left: 425 right: 426 (-93.6457, -90.1148)(0, 0.4)(-11.0471, -5.32914) 0
401 left: 403 right: 404 (-96.965, -93.6223)(0, 0.4)(-11.0314, -8.45869) 0
402 left: 413 right: 414 (-97.179, -93.4654)(0, 0.4)(-8.40364, -5.43865) 0
403 left: 405 right: 406 (-96.965, -95.42)(0, 0.4)(-10.4093, -8.45869) 0
404 left: 409 right: 410 (-94.8512, -93.6223)(0, 0.4)(-11.0314, -8.53056) 0
405 left: 407 right: 408 (-96.965, -95.42)(0, 0.4)(-10.4093, -9.61425) 0
409 left: 411 right: 412 (-94.8512, -93.6223)(0, 0.4)(-11.0314, -9.78925) 0
413 left: 415 right: 416 (-97.179, -95.4423)(0, 0.4)(-7.7348, -5.79304) 0
414 left: 419 right: 420 (-95.4511, -93.4654)(0, 0.4)(-8.40364, -5.43865) 0
415 left: 417 right: 418 (-97.179, -95.4423)(0, 0.4)(-7.7348, -6.57245) 0
419 left: 421 right: 422 (-95.3781, -93.4654)(0, 0.4)(-8.40364, -7.21253) 0
420 left: 423 right: 424 (-95.4511, -93.7278)(0, 0.4)(-6.81121, -5.43865) 0
425 left: 427 right: 428 (-93.6457, -90.2076)(0, 0.4)(-11.0471, -8.4226) 0
426 left: 437 right: 438 (-93.3937, -90.1148)(0, 0.4)(-8.30045, -5.32914) 0
427 left: 429 right: 430 (-93.6457, -91.7678)(0, 0.4)(-11.0401, -8.4226) 0
428 left: 435 right: 436 (-92.0757, -90.2076)(0, 0.4)(-11.0471, -8.73847) 0
430 left: 431 right: 432 (-93.6457, -91.7678)(0, 0.4)(-9.62673, -8.4226) 0
431 left: 433 right: 434 (-93.6457, -92.5948)(0, 0.4)(-9.62673, -8.4226) 0
437 left: 439 right: 440 (-93.3937, -91.9528)(0, 0.4)(-7.61752, -5.56986) 0
438 left: 443 right: 444 (-91.8532, -90.1148)(0, 0.4)(-8.30045, -5.32914) 0
439 left: 441 right: 442 (-93.3937, -91.9528)(0, 0.4)(-7.61752, -6.54389) 0
443 left: 445 right: 446 (-91.8532, -90.2556)(0, 0.4)(-8.30045, -6.74845) 0
446 left: 447 right: 448 (-91.192, -90.2556)(0, 0.4)(-8.30045, -6.74845) 0
449 left: 451 right: 452 (-96.9834, -93.5534)(0, 0.4)(-5.58472, 0.0604913) 0
450 left: 471 right: 472 (-93.69, -90.1881)(0, 0.4)(-5.55728, -0.182478) 0
451 left: 453 right: 454 (-96.9834, -93.5534)(0, 0.4)(-5.58472, -2.56753) 0
452 left: 463 right: 464 (-96.7318, -94.1292)(0, 0.4)(-2.83611, 0.0604913) 0
453 left: 455 right: 456 (-96.9834, -95.4177)(0, 0.4)(-5.32517, -2.56753) 0
454 left: 457 right: 458 (-95.4295, -93.5534)(0, 0.4)(-5.58472, -3.47903) 0
458 left: 459 right: 460 (-95.4295, -93.5534)(0, 0.4)(-4.53555, -3.47903) 0
459 left: 461 right: 462 (-95.4295, -94.4672)(0, 0.4)(-4.53555, -3.47903) 0
